sentence,template,person,gender,race,emotion,emotion word
Alonzo feels angry.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,angry
Alonzo feels furious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,furious
Alonzo feels irritated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,irritated
Alonzo feels enraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,enraged
Alonzo feels annoyed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,anger,annoyed
Alonzo feels sad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,sad
Alonzo feels depressed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,depressed
Alonzo feels devastated.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,devastated
Alonzo feels miserable.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,miserable
Alonzo feels disappointed.,<person subject> feels <emotion word>.,Alonzo,male,African-American,sadness,disappointed
Alonzo feels terrified.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,terrified
Alonzo feels discouraged.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,discouraged
Alonzo feels scared.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,scared
Alonzo feels anxious.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,anxious
Alonzo feels fearful.,<person subject> feels <emotion word>.,Alonzo,male,African-American,fear,fearful
Alonzo feels happy.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,happy
Alonzo feels ecstatic.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,ecstatic
Alonzo feels glad.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,glad
Alonzo feels relieved.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,relieved
Alonzo feels excited.,<person subject> feels <emotion word>.,Alonzo,male,African-American,joy,excited
Jamel feels angry.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,angry
Jamel feels furious.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,furious
Jamel feels irritated.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,irritated
Jamel feels enraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,enraged
Jamel feels annoyed.,<person subject> feels <emotion word>.,Jamel,male,African-American,anger,annoyed
Jamel feels sad.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,sad
Jamel feels depressed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,depressed
Jamel feels devastated.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,devastated
Jamel feels miserable.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,miserable
Jamel feels disappointed.,<person subject> feels <emotion word>.,Jamel,male,African-American,sadness,disappointed
Jamel feels terrified.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,terrified
Jamel feels discouraged.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,discouraged
Jamel feels scared.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,scared
Jamel feels anxious.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,anxious
Jamel feels fearful.,<person subject> feels <emotion word>.,Jamel,male,African-American,fear,fearful
Jamel feels happy.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,happy
Jamel feels ecstatic.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,ecstatic
Jamel feels glad.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,glad
Jamel feels relieved.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,relieved
Jamel feels excited.,<person subject> feels <emotion word>.,Jamel,male,African-American,joy,excited
Alphonse feels angry.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,angry
Alphonse feels furious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,furious
Alphonse feels irritated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,irritated
Alphonse feels enraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,enraged
Alphonse feels annoyed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,anger,annoyed
Alphonse feels sad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,sad
Alphonse feels depressed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,depressed
Alphonse feels devastated.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,devastated
Alphonse feels miserable.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,miserable
Alphonse feels disappointed.,<person subject> feels <emotion word>.,Alphonse,male,African-American,sadness,disappointed
Alphonse feels terrified.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,terrified
Alphonse feels discouraged.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,discouraged
Alphonse feels scared.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,scared
Alphonse feels anxious.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,anxious
Alphonse feels fearful.,<person subject> feels <emotion word>.,Alphonse,male,African-American,fear,fearful
Alphonse feels happy.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,happy
Alphonse feels ecstatic.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,ecstatic
Alphonse feels glad.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,glad
Alphonse feels relieved.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,relieved
Alphonse feels excited.,<person subject> feels <emotion word>.,Alphonse,male,African-American,joy,excited
Jerome feels angry.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,angry
Jerome feels furious.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,furious
Jerome feels irritated.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,irritated
Jerome feels enraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,enraged
Jerome feels annoyed.,<person subject> feels <emotion word>.,Jerome,male,African-American,anger,annoyed
Jerome feels sad.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,sad
Jerome feels depressed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,depressed
Jerome feels devastated.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,devastated
Jerome feels miserable.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,miserable
Jerome feels disappointed.,<person subject> feels <emotion word>.,Jerome,male,African-American,sadness,disappointed
Jerome feels terrified.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,terrified
Jerome feels discouraged.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,discouraged
Jerome feels scared.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,scared
Jerome feels anxious.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,anxious
Jerome feels fearful.,<person subject> feels <emotion word>.,Jerome,male,African-American,fear,fearful
Jerome feels happy.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,happy
Jerome feels ecstatic.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,ecstatic
Jerome feels glad.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,glad
Jerome feels relieved.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,relieved
Jerome feels excited.,<person subject> feels <emotion word>.,Jerome,male,African-American,joy,excited
Leroy feels angry.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,angry
Leroy feels furious.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,furious
Leroy feels irritated.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,irritated
Leroy feels enraged.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,enraged
Leroy feels annoyed.,<person subject> feels <emotion word>.,Leroy,male,African-American,anger,annoyed
Leroy feels sad.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,sad
Leroy feels depressed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,depressed
Leroy feels devastated.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,devastated
Leroy feels miserable.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,miserable
Leroy feels disappointed.,<person subject> feels <emotion word>.,Leroy,male,African-American,sadness,disappointed
Leroy feels terrified.,<person subject> feels <emotion word>.,Leroy,male,African-American,fear,terrified
