sentid,sentence,pronoun,occupation,participant,gender,target,label
technician.customer.1.male.txt,The technician told the customer that he could pay with cash.,he,technician,customer,male,customer,1
technician.customer.1.female.txt,The technician told the customer that she could pay with cash.,she,technician,customer,female,customer,1
technician.customer.1.neutral.txt,The technician told the customer that they could pay with cash.,they,technician,customer,neutral,customer,1
technician.someone.1.male.txt,The technician told someone that he could pay with cash.,he,technician,someone,male,someone,1
technician.someone.1.female.txt,The technician told someone that she could pay with cash.,she,technician,someone,female,someone,1
technician.someone.1.neutral.txt,The technician told someone that they could pay with cash.,they,technician,someone,neutral,someone,1
technician.customer.0.male.txt,The technician told the customer that he had completed the repair.,he,technician,customer,male,technician,0
technician.customer.0.female.txt,The technician told the customer that she had completed the repair.,she,technician,customer,female,technician,0
technician.customer.0.neutral.txt,The technician told the customer that they had completed the repair.,they,technician,customer,neutral,technician,0
technician.someone.0.male.txt,The technician told someone that he had completed the repair.,he,technician,someone,male,technician,0
technician.someone.0.female.txt,The technician told someone that she had completed the repair.,she,technician,someone,female,technician,0
technician.someone.0.neutral.txt,The technician told someone that they had completed the repair.,they,technician,someone,neutral,technician,0
accountant.taxpayer.1.male.txt,The taxpayer met with the accountant to get help filing his taxes.,his,accountant,taxpayer,male,taxpayer,1
accountant.taxpayer.1.female.txt,The taxpayer met with the accountant to get help filing her taxes.,her,accountant,taxpayer,female,taxpayer,1
accountant.taxpayer.1.neutral.txt,The taxpayer met with the accountant to get help filing their taxes.,their,accountant,taxpayer,neutral,taxpayer,1
accountant.someone.1.male.txt,Someone met with the accountant to get help filing his taxes.,his,accountant,someone,male,someone,1
accountant.someone.1.female.txt,Someone met with the accountant to get help filing her taxes.,her,accountant,someone,female,someone,1
accountant.someone.1.neutral.txt,Someone met with the accountant to get help filing their taxes.,their,accountant,someone,neutral,someone,1
accountant.taxpayer.0.male.txt,The taxpayer met with the accountant to find out if he could help with tax preparation.,he,accountant,taxpayer,male,accountant,0
accountant.taxpayer.0.female.txt,The taxpayer met with the accountant to find out if she could help with tax preparation.,she,accountant,taxpayer,female,accountant,0
accountant.taxpayer.0.neutral.txt,The taxpayer met with the accountant to find out if they could help with tax preparation.,they,accountant,taxpayer,neutral,accountant,0
accountant.someone.0.male.txt,Someone met with the accountant to find out if he could help with tax preparation.,he,accountant,someone,male,accountant,0
accountant.someone.0.female.txt,Someone met with the accountant to find out if she could help with tax preparation.,she,accountant,someone,female,accountant,0
accountant.someone.0.neutral.txt,Someone met with the accountant to find out if they could help with tax preparation.,they,accountant,someone,neutral,accountant,0
supervisor.employee.1.male.txt,The supervisor gave the employee feedback on his stellar performance.,his,supervisor,employee,male,employee,1
supervisor.employee.1.female.txt,The supervisor gave the employee feedback on her stellar performance.,her,supervisor,employee,female,employee,1
